Relavance,Content
unrelated,Sun in ultraviolet and yes that's Venus passing in front of our sun! Credit - Nasa Solar Dynamics Observatory https://t.co/sWZQIFISp8
related,Yah this definitely complicates things for Boeing's Starliner! ☹️  How much anxiety do you think Butch &amp; Suni are feeling about hopping into Starliner &amp; disconnecting from the ISS? 🤔 https://t.co/ls8MuJn7D1
unrelated,It's understandable. He's standing in the perspective of a tech guy.  He wants something like we found the second earth.  As a tech guy but he can't create those things and starts blaming finance geeks like us??  Nasa blames Douyin (Tiktok) for their weakness? https://t.co/VaVxlXPbbR
unrelated,A Tiny Particle Smaller Than A Grain Of Sand Struck A Spacecraft At High Speed And Left A Hole In Its Protective Cover https://t.co/YPmEt1GQCT
related,I can't believe there are two astronauts stranded on the international space station and it's barely in the top ten of crazy shit in 2024!
unrelated,Alrighty y’all I’m off to Brazil for a quick minute. Wish me luck on these Boeing planes. ✈️ never know these days lol.
unrelated,BoEIng iS jUsT pErfOrmINng eXtRa TEstS wHiLe tHeY cAN.
related,NASA likely to significantly delay the launch of Crew 9 due to Starliner issues  NASA plans to delay the Crew-9 mission to the ISS from August 18 to September 24 due to concerns about the Starliner spacecraft. The mission originally set to carry four astronauts may be reduced… https://t.co/Hwto8vL8Z1 https://t.co/RWMNgMDMRq
related,Stop using that Boeing Starliner junk https://t.co/GNlHCHC98G
unrelated,Could the Perseid meteor shower threaten satellites and astronauts on the International Space Station?  https://t.co/FZzoWGDMkg
unrelated,Terrifying #asteroid coming towards Earth! Is there a reason to worry? Yes there is!  https://t.co/0qQYtE38f7
unrelated,Has Boeing been intentionally manipulating the companies reputation at the sacrifice of hundreds of people if not more to lower their stock price for a potential planned war in the future where politicians and large corporations can profit off of their involvement in… https://t.co/JW2V3yye7K
unrelated,The Langley Aerodrome # 8 is an electric-powered #drone that is used for research and testing. Data gathered from the Langley Aerodrome # 8 helps further research into air travel tech of the #future like package delivery drones and air taxis!  Video Credit: @nasa_langley  #nasa https://t.co/J0jzhhxry3
unrelated,Axiom Mission 4 to ISS will include India Poland Hungary  https://t.co/c27a1hO88p https://t.co/u7Y49R6VZq
related,In other News two Astronauts remain stranded in space as the Boeing Starliner officially becomes the new SS Minnow.  https://t.co/k3gC16BCKT
unrelated,"Night hike Downey California.  For any Blade Runner movie fans Downey is apparently where the character ""Officer K"" (Ryan Gosling) lived in ""Blade Runner 2049.""  Parts of the Apollo spaceships that took astronauts to the Moon were designed and made in Downey. https://t.co/j60VVd30ng"
unrelated,"Night hike Downey California.  For any Blade Runner movie fans Downey is apparently where the character ""Officer K"" (Ryan Gosling) lived in ""Blade Runner 2049.""  Parts of the Apollo spaceships that took astronauts to the Moon were designed and made in Downey. https://t.co/adK13ygIy7"
unrelated,Extremely close view of Jupiter's clouds... NASA https://t.co/11EsISxHeW
unrelated,Fantastic use of government money. https://t.co/TJQUXgJgst https://t.co/mMrM4lHB4M
related,The life of two Boeing Starliner astronauts stuck indefinitely in space - The Washington Post https://t.co/Qa0Z73gyQo
unrelated,I still do like these astronauts for the logo. I may rotate them out. It’s fun. Coffee’s good so why not? https://t.co/4kyUC3goZ9
unrelated,I think the Enterprise model cost more! Oh NO Not really! How much does NASA spend a day!? THE ONLY BULLSHIT ARTISTS THAT GET MORE IS UKRAINE!!!! WTF!!! https://t.co/8RqMY8ArGM
related,Isn’t @VP Kamala Harris the lead for @NASA and why has no one asked Kamala why the @BoeingSpace #Starliner which has failed and cannot bring astronauts (who have been stuck on #ISS for now 60 days) back home. Americans Sonny and Butch are stuck in space. @catturd2 @SaraCarterDC… https://t.co/zvTZQrefQd
related,Isn’t @VP Kamala Harris the lead for @NASA and why has no one asked Kamala why the @BoeingSpace #Starliner which has failed and cannot bring astronauts (who have been stuck on #ISS for 60 days) back home. Americans Sonny and Butch are stuck in space. @catturd2 @SaraCarterDC… https://t.co/4usCGfnYpe
related,Head of Boeing #Starliner https://t.co/tfYnOQMJ2O
unrelated,Today We Found Out the NASA secret that can boost your life and financial health by accessing your mind’s hidden abilities. Do you think it would work for you? https://t.co/ncYGvymMuG https://t.co/HNzwBKGS3t
unrelated,took a day and a half off work (+ weekend) to touch grass with my wife and kids  - Seguin to visit fam - San Antonio Riverwalk/Alamo - Austin for the inner space caverns  - Houston for NASA space center  refreshed and ready to get back to it   been an absolute grind since launch https://t.co/WDy0BnHGYK
unrelated,Matic nasa Platform voucher po ang ₱200 off. No need to claim  Cart na and check out later!  men’s jacket: https://t.co/77RCoeEocN michaela shoes: https://t.co/lLuYrlpRoQ figlia sandals: https://t.co/yKkGVjWOXr criza sandals: https://t.co/yiDTt51JHn sports shorts:… https://t.co/9wi29jzBYZ https://t.co/y0WzBBpUmp
related,Obviously I want @BoeingSpace #Starliner to succeed as a safe operational vehicle for #NASA access to LEO but clearly its time to cut losses on this particular mission. Bring the astronauts home on a @SpaceX #Dragon and if possible send Starliner home uncrewed and don't fly… https://t.co/bV67SB1ZUU https://t.co/xlelHuSTXJ
unrelated,Flight from Oklahoma City  https://t.co/j4QP5Z6n4r🚨🇺🇸USAF Boeing E3 Sentry alert looping over Kansas after departing from Oklahoma hours ago Being fed by air from a KC 135 Pegasus🇺🇸⚠️⚡️🚨 https://t.co/eC5PINjITk
unrelated,Space 101 for NASA: never ditch SpaceX ! https://t.co/9avnngK42w
related,"The joke used to be; ""built by the lowest bidder."" now the hard in your face truth is: ""developed and built by DEI""  NASA May Be Forced to Send Boeing's Busted Spacecraft Back Empty https://t.co/BRCXja6bmg"
related,Boeing's Starliner *CANNOT* return home without crew https://t.co/qlx3pnOpps via @YouTube
related,From @wired: @NASA Is ‘Evaluating All Options’ to Get the @BoeingSpace #Starliner Crew Home  https://t.co/XcavbcrVLx  #spacenews #perthnews #wanews #communitynews #astronomynews #astronomy #space #NASA https://t.co/0pQz7Cur3a
unrelated,Gorgeous: Storm clouds pictured from the International Space Station as it orbited 261 miles above Australia's Gulf of Carpentaria.  (Credit: NASA Johnson) https://t.co/WRIfDhdp1b
unrelated,One of the best image of Space ever taken The Sombrero Galaxy Infrared Credit:  NASA ESA Hubble https://t.co/OaXMZ9xLtF
unrelated,https://t.co/Gsq2lnW30a  @NASA  answer my tweeter traitors https://t.co/Dnorf9SsiN
related,OMG.  Boeing really screwed up multiple issues on this single spacecraft. https://t.co/ztoWlPSqJe
unrelated,Calling all college students! 📢   Student teams are invited to design cutting-edge aviation systems aimed at transforming agriculture by 2035 in NASA’s 2025 Gateways to Blue Skies Competition.  Join today! ✈️ https://t.co/e7lnzID5II https://t.co/tIwDaDAL7g
unrelated,The human race is in trouble. After narrowly claiming victory in the first invasion an assault by advanced militaristic aliens armed with light speed capable spacecraft is a continuing threat. https://t.co/nQCaihFPz9 #scifi @SamBMillerII
unrelated,An active volcano on IO (a moon of Jupiter) captured by NASA's Galileo spacecraft! (Credit: NASA/JPL) https://t.co/cZyNBlOSi6
related,Indian-origin astronaut Sunita Williams stranded in space for over 50 days may be at risk of potential vision problems https://t.co/LQuNKLXm1t https://t.co/PrHFvv0r60
unrelated,Boeing company team arrives in Pakistan. Private company is interested in acquiring Pakistan International Airlines (PIA) have sought detailed information on the airline’s daily flight operations.  https://t.co/Oh4Kz4b5TZ
unrelated,NASA announced a study on Unidentified Aerial Phenomena leading to the establishment of the Galileo Project by Avi Loeb aligning both initiatives in their approach to scientifically understand and collect data on UAP reflecting a growing openness among scientists towards s …
unrelated,Remember those field trips to the Carnegie Science Center or go even further back to the Buehl Planetarium. No trip was complete without a bag of this Freeze Dried Neapolitan Ice Cream that we were told Astronauts gladly eat in Space. Since I was a little girl I've been… https://t.co/1pjFQHZgok
unrelated,Alaska pilot describes ‘chaos’ as Boeing officials quizzed on mid-flight blowout https://t.co/RgHCjB6VYy
unrelated,Soak up the last of the summer skywatching season! This month keep an eye out for Mars and Jupiter's meet-up the Perseid meteors and a full Moon on Aug. 19. Watch for more @NASA stargazing tips and to learn how to observe the Lagoon Nebula. https://t.co/Q7vzuViV5Q https://t.co/a3kPVhtKna
unrelated,NASA Moon Space Challenger “Explosion” Psyop EXPOSED! Plus Trump and Adin Ross and More https://t.co/60UTvowHXe
unrelated,NASA Moon Space Challenger “Explosion” Psyop EXPOSED! Plus Trump and Adin Ross and More https://t.co/2GQHcAzIVM
unrelated,A National Transportation Safety Board hearing is making new information public about why a door panel wasn’t properly installed.  https://t.co/kEpvQhAVYq
unrelated,Extremely close view of Jupiter's clouds... NASA https://t.co/e5t9m9jwkL
unrelated,They are working on some design changes that will allow the door plug to not be closed if there's any issue until it's firmly secured. https://t.co/w07s32Lp9f
related,“Starliner’s Tribulation Contributing to Boeing’s Headaches”“Starliner’s Tribulation Contributing to Boeing’s Headaches” https://t.co/ffMzXNZSJE #NASA #Starliner #Boeing #SpaceX #ISS #InternationalSpaceStation #Space #Orbit #CrewDragon #EarthOrbit #SunitaWilliams #ButchWilmore… https://t.co/6TgyWpFPs3 https://t.co/jh7FVNuvIs
unrelated,Astronautshttps://t.co/dzZ6ujpqjj
related,This happens when nobody loses their job unless they mis gender someone.  Shock Revelation: Starliner Can't Undock From Space Station SafelyShock Revelation: Starliner Can't Undock From Space Station Safely https://t.co/5WqfmUvIYh
unrelated,Today We Found Out the NASA Breakthrough Study making it possible to enhance life and money situations by using the mind’s hidden potential. Do you think it would work for you? https://t.co/ncYGvymMuG https://t.co/lCwZR1oxjc
unrelated,📖 On this day August 6 2012 NASA's robotic vehicle Curiosity (also called Mars Science Laboratory) landed on Mars and soon began transmitting images of the planet's surface.
related,Boeing’s Starliner problems delay next Nasa astronaut mission #FMTNews #FMTWorld  https://t.co/q0OIQQhdE0
unrelated,🛑 #TechNewsThread   In a groundbreaking achievement #NASA has successfully transmitted a laser message from a #spacecraft located 10 million miles away from #Earth. This remarkable feat was accomplished using the agency's Deep Space Optical Communications (#DSOC) project which… https://t.co/Rc12wG6vpO https://t.co/eHWnQpZjqZ
related,#DEIhires Shock Revelation: Starliner Can't Undock From Space Station SafelyShock Revelation: Starliner Can't Undock From Space Station Safely https://t.co/QK9glncal7
unrelated,A Hawaii telescope captured an image of a glowing #nebula the remains of a star that collapsed in a #supernova explosion.   Does it remind you of an eery other worldly butterfly? Lit up by its core?  The #universe astounds me.  #astronomy #science #spacetelescope #NASA #Hubble https://t.co/flreZN374e
related,Boeing’s Starliner problems delay next Nasa astronaut mission #FMTNews #FMTWorld   https://t.co/q0OIQQhdE0
related,Boeing’s Starliner problems delay next Nasa astronaut mission #FMTNews #FMTWorld    https://t.co/q0OIQQhdE0
unrelated,NASA shared this video showing carbon dioxide emissions moving through earth's atmosphere. The video was created by Supercomputers using insane amounts of Data from satellites. https://t.co/GcOk7tHtPT
unrelated,Boeing Spirit AeroSystems tout safety moves since in-air panel blowout https://t.co/beY3gttpNE
unrelated,Personally I’d rather have a tech nerd on NASA team make the call. 🤷‍♀️ https://t.co/Vur6sDoWNW
undefined,Som ET - 59 - Mars - Perseverance Sol 662 - Video 2  This image was acquired on Dec. 30 2022 (Sol 662).  NASA Image: https://t.co/z5MALqu8KN  Audio: Som ET - 59 - Mars   Credit: NASA/JPL-Caltech/ASU https://t.co/eWmRfgdQy2
unrelated,nasa copywriter vsl: '' yes im good '' https://t.co/mHPEID5La8
related,“Starliner’s Tribulation Contributing to Boeing’s Headaches” - Audio Sample“Starliner’s Tribulation Contributing to Boeing’s Headaches” - Audio Sample https://t.co/r0Wx0DpsuN #NASA #Starliner #Boeing #SpaceX #ISS #InternationalSpaceStation #Space #Orbit #CrewDragon #EarthOrbit… https://t.co/VGqFXfm6oq https://t.co/oyUSosZO48
unrelated,NASA Moon Space Challenger “Explosion” Psyop EXPOSED by Florida resident! 😯  Plus Trump and Adin Ross and More  WATCH now and Chat with us live on Rumble!👇 https://t.co/laIUsSRerK
related,“Starliner’s Tribulation Contributing to Boeing’s Headaches” - Audio Sample“Starliner’s Tribulation Contributing to Boeing’s Headaches” - Audio Sample https://t.co/gPSiopTHDI via @YouTubeYouTube #NASA #Starliner #Boeing #SpaceX #ISS #InternationalSpaceStation #Space #Orbit… https://t.co/R9my63oUD1
related,So Boeing Crowdstriked the ISS door  locks and now @SpaceX may have to delay future launches 😮 wtf #JEOING737 https://t.co/VXZ9nLloYZ https://t.co/WUlMN1bWEL
unrelated,Starting off my week with a different kind of Win!  Thanks for having me this summer to experience Washington Aerospace Scholars  Program at UW @WASHQ @uwengineering  https://t.co/s3fYXmRPPn  #Teamwork #TeamImprint #museumofflight @WASPurpleTeam #WAS #Stem #NASA
related,Why isn’t this a bigger issue? There’s two Boeing test astronauts involved! @BoeingSpace #Starliner #CFT https://t.co/FqayxOQKJi https://t.co/KKGemBuB2l
unrelated,The other night when Boeing was mentioned I added about how Raytheon and subsidiaries are behind much of what is playing out.   Last month start July  around 4th I think in Scotland there was a protest at Thales. Not the first time and strangely always been early on Wednesday… https://t.co/9bBlRMuZfL
related,WOEING: Shock Revelation: Starliner Can’t Undock From Space Station Safely. Nobody is saying why: WOEING: Shock Revelation: Starliner Can’t Undock From Space Station Safely. Nobody is saying why exactly Boeing rewrote the software in such a way that it… https://t.co/t5RbpqinRu https://t.co/pqZUa42BaZ
related,"Didn't take long.  ""Shock Revelation: Starliner Can't Undock From Space Station Safely"" https://t.co/fzmSc3V1Cx https://t.co/Ea19Zh2fO8"
unrelated,Finally the NASA   “A” team arrives to save the day 🤣🖖 https://t.co/lmPaWIU8lb
unrelated,A midflight blowout of a panel from a Boeing 737 Max jet left a gaping hole on the side of the Alaska Airlines owned plane. The NTSB is questioning Boeing and Spirit Aerosystems executives this week. https://t.co/HqwLuCuEh0
unrelated,BRITISH AIRWAYS: Summer will see Boeing 777s with new Business and First Class flying to Australia https://t.co/J7FjKLiQTW via @2paxFly https://t.co/wsL30t1lmv
unrelated,#aviationdaily #Boeing Announces Design Changes to Prevent Future Door Panel Blowouts on #737MAX 9. Details: https://t.co/UKc1V5grXY #aviationlovers #AvGeek #Avgeeks #Airlines #Airline #Boeing737 #Boeing777X #FLIGHT #flights #Airports #cabincrew #Aircraft #Pilot #pilots #Airbus… https://t.co/QtRfmlor6q
unrelated,Detailed view of Gale crater on Mars captured by Curiosity Rover. NASA https://t.co/YpgKS3Tq9y
related,Shock Revelation: Starliner Can't Undock From Space Station Safely https://t.co/V9JAzAGom2
unrelated,NASA: Not A Space Agency https://t.co/HUlmy5CQSx
unrelated,Holy cow. Boeing is a disaster. https://t.co/amCVoBrgaG
related,Boeing's Stranded Starliner Has Failed So Spectacularly That It Looks Like It'll Push Back SpaceX's Next Astronaut Launch https://t.co/ho2aojGMBk
unrelated,Boeing announces plans to implement design modifications to prevent incidents such as mid-air cabin panel blowouts following a January incident with an Alaska Airlines 737 Max 9 that marked one of the company’s most significant crises https://t.co/a66K2YqW8s
related,Colossal Boeing Starlink Failure Leaves Astronauts Stranded on Space Station: SpaceX to the Rescue?Colossal Boeing Starlink Failure Leaves Astronauts Stranded on Space Station: SpaceX to the Rescue https://t.co/nkUT7Eivvv
unrelated,Today We Found Out the NASA secret making it possible to upgrade your life and finances by tapping into hidden mental abilities. Do you think it would work for you? https://t.co/ncYGvymMuG https://t.co/IsCgEMxJqp
unrelated,Boeing delivers first MH-139A production aircraft to US Air Force  https://t.co/ka8VIE4LCx
unrelated,Earth from Space just now Image credit: NASA https://t.co/gmzyiHiXG2
related,Boeing Starliner issues forced NASA to delay SpaceX Crew 9 mission to September while uncertainty remains over the return of Starliner spacecraft #Starliner #Boeing #SpaceX #NASA https://t.co/2JIG85rMQb
related,Boeing.  What’s the problem?  Now your incompetence is affecting Space X astronauts.   Lead follow or get out of the way.   https://t.co/iV6sOKUNAd
related,"SpaceX Crew-9 launch by NASA delayed to September due to uncertainties about Starliner's return schedule. “This adjustment allows more time for mission managers to finalize return planning for the agency’s Boeing Crew Flight Test currently docked to the orbiting laboratory""-NASA https://t.co/C04FFR4ZV0"
unrelated,#aviationdaily @NTSB Releases Documents on #Boeing #737MAX 9 Mid-Air Emergency Ahead of Hearing. Details: https://t.co/dHBRDtCap1 #aviation #aviationlovers #AvGeek #Avgeeks #Airlines #Airline #Boeing737 #Boeing777X #FLIGHT #flights #Airports #cabincrew #Aircraft #Pilot #pilots… https://t.co/54xDuLn9bt
related,I think we can all agree no matter what happens with this current flight Jeb needs to fly again on the next Starliner flight
related,NASA is set to offer an update on Boeing's Starliner spacecraft which has been stuck at the International #Space Station since early June. https://t.co/UtCyQ4026v
unrelated,Meet woman who quit her Rs 50 lakh job as NASA scientist to crack UPSC exam twice became IPS officer with AIR…  https://t.co/caKvmXRhMq
unrelated,The National Transportation Safety Board kicked off a fact-finding hearing on the details it's gathered since a door plug flew off of Boeing 737 Max 9 flown by Alaska Airlines over Portland Oregon in January. Captain Shem Malmquist shares what has stood out to him the most. https://t.co/KJX0qTtE19
unrelated,Hearing seeks insight into blowout on a Boeing jet that pilots said threw the flight into ‘chaos’  https://t.co/UFfJwHZfmA
unrelated,FLIGHT ATTENDANTS VS PILOTS #flightattendant #pilots #pilot #rivalry #shutup #cabincrew #mansplaining #pilotsplaining #airbus #boeing #aviation #pamann #cockpit #inflight #comedy #movie #spoof #neverbeenflown #captain #firstofficer https://t.co/iYpNwsvbu6
related,On the bright side: Starliner is still performing better than our government! https://t.co/9VWqBXyJGZ
unrelated,#DNAWebStories | 8 jaw-dropping images of galaxies shared by NASA  Take a look: https://t.co/DHQmP56r2R https://t.co/AGmytH266K
unrelated,NASA Moon Space Challenger “Explosion” Psyop EXPOSED by Florida resident! 😯  Plus Trump and Adin Ross and More With @JustinWeRchange 🔥  WATCH now and Chat with us live on Rumble!👇  https://t.co/laIUsSRerK
